         97634 function calls (95282 primitive calls) in 0.140 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      121    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
       17    0.012    0.001    0.016    0.001 {built-in method _imp.create_dynamic}
  241/240    0.005    0.000    0.008    0.000 {built-in method builtins.__build_class__}
      611    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      275    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
      121    0.002    0.000    0.002    0.000 {built-in method io.open_code}
    11569    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     4099    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      121    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      586    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      317    0.002    0.000    0.011    0.000 overrides.py:142(decorator)
    17/12    0.002    0.000    0.008    0.001 {built-in method _imp.exec_dynamic}
      160    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      331    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
     1444    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
    76/28    0.002    0.000    0.004    0.000 sre_parse.py:493(_parse)
      528    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:87(acquire)
     1444    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      528    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     1868    0.001    0.000    0.001    0.000 typing.py:930(<genexpr>)
      121    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:921(get_code)
    162/1    0.001    0.000    0.140    0.140 <frozen importlib._bootstrap>:1002(_find_and_load)
     1089    0.001    0.000    0.002    0.000 typing.py:696(__setattr__)
      278    0.001    0.000    0.006    0.000 overrides.py:83(verify_matching_signatures)
      242    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      528    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
       15    0.001    0.000    0.350    0.023 __init__.py:1(<module>)
      317    0.001    0.000    0.005    0.000 function_base.py:497(add_newdoc)
    374/8    0.001    0.000    0.135    0.017 {built-in method builtins.__import__}
      657    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x956900}
      605    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
