         2502683 function calls (2500910 primitive calls) in 2.578 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    2.204    0.000    2.417    0.000 main.py:148(run_program_part2)
  2400096    0.199    0.000    0.199    0.000 {built-in method builtins.abs}
      105    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
    10000    0.012    0.000    0.012    0.000 {built-in method numpy.zeros}
    25/23    0.012    0.000    0.016    0.001 {built-in method _imp.create_dynamic}
        1    0.010    0.010    2.427    2.427 main.py:191(solve_puzzle)
  204/203    0.005    0.000    0.007    0.000 {built-in method builtins.__build_class__}
      280    0.005    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1676(find_spec)
      582    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      105    0.003    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:764(_compile_bytecode)
      476    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:216(acquire)
     3924    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      614    0.003    0.000    0.003    0.000 _inspect.py:65(getargs)
    25/16    0.002    0.000    0.011    0.001 {built-in method _imp.exec_dynamic}
14625/14555    0.002    0.000    0.002    0.000 {built-in method builtins.len}
      105    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      105    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
     1418    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      140    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap>:1183(_find_spec)
     1418    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      314    0.002    0.000    0.015    0.000 overrides.py:170(decorator)
      327    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
      476    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:284(release)
    375/8    0.002    0.000    0.145    0.018 {built-in method builtins.__import__}
      317    0.002    0.000    0.008    0.000 function_base.py:483(add_newdoc)
      284    0.002    0.000    0.008    0.000 overrides.py:88(verify_matching_signatures)
      476    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:338(_get_module_lock)
      618    0.002    0.000    0.007    0.000 _inspect.py:96(getargspec)
    141/1    0.001    0.000    0.151    0.151 <frozen importlib._bootstrap>:1294(_find_and_load)
      210    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:475(cache_from_source)
       13    0.001    0.000    0.327    0.025 __init__.py:1(<module>)
      105    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1091(get_code)
     5489    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.001    0.001    0.005    0.005 core.py:1(<module>)
      618    0.001    0.000    0.001    0.000 _inspect.py:13(ismethod)
    35/19    0.001    0.000    0.003    0.000 _parser.py:503(_parse)
      131    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:645(_init_module_attrs)
      139    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1538(_get_spec)
    107/1    0.001    0.000    2.578    2.578 {built-in method builtins.exec}
    141/1    0.001    0.000    0.151    0.151 <frozen importlib._bootstrap>:1249(_find_and_load_unlocked)
       28    0.001    0.000    0.001    0.000 inspect.py:878(cleandoc)
     1534    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(_verbose_message)
      314    0.001    0.000    0.001    0.000 {method 'replace' of 'code' objects}
    354/2    0.001    0.000    0.150    0.075 <frozen importlib._bootstrap>:392(_call_with_frames_removed)
    131/1    0.001    0.000    0.150    0.150 <frozen importlib._bootstrap>:817(_load_unlocked)
      476    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__enter__)
   200/15    0.001    0.000    0.146    0.010 <frozen importlib._bootstrap>:1335(_handle_fromlist)
     1801    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
  613/610    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x5606b3af19a0}
     1402    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      335    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:375(_lock_unlock_module)
        5    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      130    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:815(spec_from_file_location)
      210    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      317    0.001    0.000    0.001    0.000 function_base.py:451(_needs_add_docstring)
       32    0.001    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
      105    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     3048    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    66/19    0.001    0.000    0.002    0.000 _compiler.py:37(_compile)
      105    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1212(get_data)
        1    0.001    0.001    0.015    0.015 numeric.py:1(<module>)
        5    0.001    0.000    0.001    0.000 __init__.py:348(namedtuple)
     1712    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      317    0.000    0.000    0.002    0.000 function_base.py:469(_add_docstring)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1564(_guarded_repr_or_str)
      261    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      323    0.000    0.000    0.000    0.000 functools.py:65(wraps)
    105/1    0.000    0.000    0.150    0.150 <frozen importlib._bootstrap_external>:1018(exec_module)
     1175    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      321    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1495(_path_importer_cache)
      947    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      140    0.000    0.000    0.006    0.000 __init__.py:280(_compile)
     2781    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      582    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  131/128    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:718(module_from_spec)
      315    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      130    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1671(_get_spec)
      214    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      105    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:679(_classify_pyc)
      476    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:85(__exit__)
        1    0.000    0.000    0.003    0.003 datetime.py:1(<module>)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:144(__init__)
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:557(parent)
      568    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
      341    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.007    0.007 _add_newdocs.py:1(<module>)
      405    0.000    0.000    0.000    0.000 _parser.py:231(__next)
      953    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      559    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1159(__exit__)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(cb)
        1    0.000    0.000    0.007    0.007 fromnumeric.py:1(<module>)
      130    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:604(_get_cached)
