472
         112336 function calls (110563 primitive calls) in 0.193 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.045    0.045    0.054    0.054 main.py:68(solve)
      105    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
    25/23    0.010    0.000    0.014    0.001 {built-in method _imp.create_dynamic}
        1    0.005    0.005    0.006    0.006 main.py:23(get_map)
  204/203    0.005    0.000    0.007    0.000 {built-in method builtins.__build_class__}
      280    0.005    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1676(find_spec)
      580    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      105    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:764(_compile_bytecode)
      476    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:216(acquire)
     3924    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      614    0.003    0.000    0.003    0.000 _inspect.py:65(getargs)
    22166    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
      105    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      105    0.002    0.000    0.002    0.000 {built-in method io.open_code}
     1418    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1418    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      314    0.002    0.000    0.014    0.000 overrides.py:170(decorator)
    25/16    0.002    0.000    0.010    0.001 {built-in method _imp.exec_dynamic}
      140    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap>:1183(_find_spec)
      327    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
    375/8    0.002    0.000    0.134    0.017 {built-in method builtins.__import__}
      476    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:284(release)
      317    0.002    0.000    0.007    0.000 function_base.py:483(add_newdoc)
      284    0.001    0.000    0.008    0.000 overrides.py:88(verify_matching_signatures)
      618    0.001    0.000    0.006    0.000 _inspect.py:96(getargspec)
    13700    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      476    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:338(_get_module_lock)
     5488    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      210    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:475(cache_from_source)
      105    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1091(get_code)
       13    0.001    0.000    0.304    0.023 __init__.py:1(<module>)
    35/19    0.001    0.000    0.003    0.000 _parser.py:503(_parse)
    141/1    0.001    0.000    0.139    0.139 <frozen importlib._bootstrap>:1294(_find_and_load)
      139    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1538(_get_spec)
      618    0.001    0.000    0.001    0.000 _inspect.py:13(ismethod)
     1534    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(_verbose_message)
      131    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:645(_init_module_attrs)
       28    0.001    0.000    0.001    0.000 inspect.py:878(cleandoc)
    107/1    0.001    0.000    0.193    0.193 {built-in method builtins.exec}
        1    0.001    0.001    0.004    0.004 core.py:1(<module>)
    141/1    0.001    0.000    0.139    0.139 <frozen importlib._bootstrap>:1249(_find_and_load_unlocked)
      314    0.001    0.000    0.001    0.000 {method 'replace' of 'code' objects}
    131/1    0.001    0.000    0.138    0.138 <frozen importlib._bootstrap>:817(_load_unlocked)
      476    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__enter__)
     1801    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
    354/2    0.001    0.000    0.138    0.069 <frozen importlib._bootstrap>:392(_call_with_frames_removed)
  613/610    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x557a1ddfc9a0}
   200/15    0.001    0.000    0.134    0.009 <frozen importlib._bootstrap>:1335(_handle_fromlist)
4627/4557    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      335    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:375(_lock_unlock_module)
        5    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     1402    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     6478    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      317    0.001    0.000    0.001    0.000 function_base.py:451(_needs_add_docstring)
    66/19    0.001    0.000    0.002    0.000 _compiler.py:37(_compile)
      130    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:815(spec_from_file_location)
      210    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     3048    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       32    0.001    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
      105    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      317    0.000    0.000    0.002    0.000 function_base.py:469(_add_docstring)
        5    0.000    0.000    0.001    0.000 __init__.py:348(namedtuple)
      105    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1212(get_data)
        1    0.000    0.000    0.014    0.014 numeric.py:1(<module>)
     1712    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       18    0.000    0.000    0.000    0.000 arrayprint.py:1564(_guarded_repr_or_str)
     1175    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
    105/1    0.000    0.000    0.138    0.138 <frozen importlib._bootstrap_external>:1018(exec_module)
      947    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      140    0.000    0.000    0.007    0.000 __init__.py:280(_compile)
       13    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      315    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      261    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      580    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      405    0.000    0.000    0.000    0.000 _parser.py:231(__next)
  131/128    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap>:718(module_from_spec)
      105    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:679(_classify_pyc)
      321    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1495(_path_importer_cache)
      214    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:557(parent)
      568    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
      476    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:85(__exit__)
      430    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      953    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      130    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1671(_get_spec)
      323    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.007    0.007 _add_newdocs.py:1(<module>)
      559    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1159(__exit__)
        1    0.000    0.000    0.003    0.003 datetime.py:1(<module>)
    78/31    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
      341    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.003    0.003 defchararray.py:1(<module>)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(cb)
        1    0.000    0.000    0.007    0.007 fromnumeric.py:1(<module>)
      559    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1155(__enter__)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:144(__init__)
     1175    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.055    0.055 main.py:119(main)
        6    0.000    0.000    0.000    0.000 numeric.py:2536(extend_all)
      130    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:604(_get_cached)
      235    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:544(cached)
      105    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:712(_validate_timestamp_pyc)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:598(__new__)
      141    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:328(__enter__)
        1    0.000    0.000    0.005    0.005 numerictypes.py:1(<module>)
        1    0.000    0.000    0.033    0.033 multiarray.py:1(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
      874    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      971    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      867    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      140    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
      308    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       24    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        2    0.000    0.000    0.009    0.005 shape_base.py:1(<module>)
      476    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:70(__init__)
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:1(<module>)
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(_check_name_wrapper)
      514    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
    33/19    0.000    0.000    0.003    0.000 _parser.py:443(_parse_sub)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1049(find_spec)
      139    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1570(find_spec)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      299    0.000    0.000    0.000    0.000 _parser.py:252(get)
        1    0.000    0.000    0.002    0.002 getlimits.py:158(_register_known_types)
      353    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 _add_newdocs_scalars.py:1(<module>)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      105    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1231(path_stats)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(__init__)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:511(__init__)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
