Solution to puzzle: 1580758017509
         199181 function calls (196861 primitive calls) in 0.618 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1002(_gcd_import)
   211/17    0.001    0.000    0.140    0.008 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      538    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      200    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      200    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      538    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      338    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    299/3    0.000    0.000    0.143    0.048 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2206    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      315    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:376(cached)
      421    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      186    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  186/182    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    186/3    0.001    0.000    0.143    0.048 <frozen importlib._bootstrap>:650(_load_unlocked)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(create_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      538    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      546    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      546    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      194    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
    199/3    0.001    0.000    0.143    0.048 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    200/3    0.001    0.000    0.143    0.048 <frozen importlib._bootstrap>:986(_find_and_load)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
      147    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
       21    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1164(create_module)
    21/16    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
     2078    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     2078    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      294    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      588    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
      455    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      814    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      176    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      176    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
