Solution to puzzle: 1580758017509
         199160 function calls (196840 primitive calls) in 0.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25096    0.378    0.000    0.378    0.000 tetriswithrangedetection.py:72(check_col)
        1    0.055    0.055    0.495    0.495 tetriswithrangedetection.py:424(main_loop)
     3445    0.019    0.000    0.019    0.000 tetriswithrangedetection.py:127(place_block)
     9874    0.017    0.000    0.017    0.000 tetriswithrangedetection.py:291(check_width_ranges)
      147    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
       21    0.012    0.001    0.015    0.001 {built-in method _imp.create_dynamic}
     3445    0.012    0.000    0.012    0.000 tetriswithrangedetection.py:246(update_width_ranges)
     3445    0.007    0.000    0.007    0.000 tetriswithrangedetection.py:151(update_col_heights)
  338/337    0.006    0.000    0.020    0.000 {built-in method builtins.__build_class__}
       13    0.005    0.000    0.007    0.001 enum.py:157(__new__)
46000/45830    0.005    0.000    0.005    0.000 {built-in method builtins.len}
      816    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      399    0.004    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      147    0.003    0.000    0.003    0.000 {built-in method io.open_code}
      614    0.002    0.000    0.003    0.000 _inspect.py:65(getargs)
      148    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
     4364    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     2079    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     2079    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
    18789    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      328    0.002    0.000    0.003    0.000 functools.py:34(update_wrapper)
      314    0.002    0.000    0.013    0.000 overrides.py:170(decorator)
      538    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    82/29    0.002    0.000    0.004    0.000 sre_parse.py:493(_parse)
      147    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:914(get_code)
     8648    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      284    0.001    0.000    0.007    0.000 overrides.py:88(verify_matching_signatures)
      194    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      538    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
    165/1    0.001    0.000    0.639    0.639 {built-in method builtins.exec}
