Solution to puzzle: 1116
         8883549 function calls (8881808 primitive calls) in 11.700 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1265309    4.075    0.000    4.075    0.000 part2.py:291(check_collision)
  2899368    2.803    0.000    4.852    0.000 part2.py:329(check_moving)
        1    2.256    2.256   11.574   11.574 part2.py:424(main_loop)
  2899368    2.049    0.000    2.049    0.000 part2.py:41(generate_neighbours)
   892641    0.314    0.000    0.314    0.000 part2.py:348(get_new_place)
   821548    0.071    0.000    0.071    0.000 {method 'pop' of 'dict' objects}
      114    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
       18    0.012    0.001    0.013    0.001 {built-in method _imp.create_dynamic}
      143    0.010    0.000    0.013    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
    37438    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
  226/225    0.004    0.000    0.006    0.000 {built-in method builtins.__build_class__}
      310    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      623    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      614    0.002    0.000    0.003    0.000 _inspect.py:65(getargs)
      114    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      115    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
     3928    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      326    0.002    0.000    0.003    0.000 functools.py:34(update_wrapper)
     1605    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1605    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      314    0.001    0.000    0.011    0.000 overrides.py:170(decorator)
    18/13    0.001    0.000    0.007    0.001 {built-in method _imp.exec_dynamic}
      487    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      284    0.001    0.000    0.006    0.000 overrides.py:88(verify_matching_signatures)
      114    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:914(get_code)
      228    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
    130/1    0.001    0.000   11.700   11.700 {built-in method builtins.exec}
      487    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.001    0.001    0.001    0.001 part2.py:9(parse_input)
     5878    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      150    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    377/8    0.001    0.000    0.121    0.015 {built-in method builtins.__import__}
      317    0.001    0.000    0.005    0.000 function_base.py:483(add_newdoc)
    40/21    0.001    0.000    0.003    0.000 sre_parse.py:493(_parse)
      618    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
