[FAIL] No path found with dijkstra's algorithm!
         3490546 function calls (3487843 primitive calls) in 2.617 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    2.048    0.007    2.451    0.008 dijkstra.py:224(update_blizzards)
  1160101    0.134    0.000    0.134    0.000 {built-in method time.time}
   809441    0.121    0.000    0.121    0.000 {method 'pop' of 'list' objects}
   816663    0.089    0.000    0.089    0.000 {method 'append' of 'list' objects}
587355/587128    0.061    0.000    0.061    0.000 {built-in method builtins.len}
      137    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
       20    0.012    0.001    0.016    0.001 {built-in method _imp.create_dynamic}
  302/301    0.005    0.000    0.021    0.000 {built-in method builtins.__build_class__}
       15    0.005    0.000    0.008    0.001 enum.py:179(__new__)
        1    0.005    0.005    0.005    0.005 dijkstra.py:76(parse_1)
      715    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      338    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
    14118    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     1089    0.002    0.000    0.004    0.000 typing.py:696(__setattr__)
      137    0.002    0.000    0.002    0.000 {built-in method io.open_code}
   105/32    0.002    0.000    0.006    0.000 sre_parse.py:493(_parse)
     4418    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      138    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      586    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      184    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      331    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
      317    0.002    0.000    0.011    0.000 overrides.py:142(decorator)
     1764    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1764    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      555    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:87(acquire)
    20/15    0.002    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
     1180    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x956900}
      137    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:921(get_code)
      457    0.001    0.000    0.003    0.000 enum.py:88(__setitem__)
      555    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      274    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      278    0.001    0.000    0.006    0.000 overrides.py:83(verify_matching_signatures)
      555    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
   214/30    0.001    0.000    0.003    0.000 sre_compile.py:71(_compile)
      317    0.001    0.000    0.005    0.000 function_base.py:497(add_newdoc)
       16    0.001    0.000    0.344    0.022 __init__.py:1(<module>)
    187/4    0.001    0.000    0.157    0.039 <frozen importlib._bootstrap>:1002(_find_and_load)
      159    0.001    0.000    0.002    0.000 typing.py:182(_collect_type_vars)
       88    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
   381/10    0.001    0.000    0.153    0.015 {built-in method builtins.__import__}
      168    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      605    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
      336    0.001    0.000    0.002    0.000 typing.py:130(_type_check)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      156    0.001    0.000    0.007    0.000 typing.py:722(__init__)
      173    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
     3265    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
    173/4    0.001    0.000    0.157    0.039 <frozen importlib._bootstrap>:659(_load_unlocked)
   256/20    0.001    0.000    0.153    0.008 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     1892    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     2210    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
    187/4    0.001    0.000    0.157    0.039 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     2228    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       14    0.001    0.000    0.002    0.000 __init__.py:345(namedtuple)
     1089    0.001    0.000    0.001    0.000 typing.py:648(_is_dunder)
      484    0.001    0.000    0.001    0.000 enum.py:438(__setattr__)
       28    0.001    0.000    0.001    0.000 inspect.py:626(cleandoc)
     2049    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     3804    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      274    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     1277    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
     1430    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
      137    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1041(get_data)
      368    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
   264/80    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
     1868    0.001    0.000    0.001    0.000 typing.py:930(<genexpr>)
      137    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      300    0.001    0.000    0.001    0.000 dijkstra.py:401(bounds_check_lst)
       16    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      157    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      144    0.001    0.000    0.001    0.000 typing.py:941(__hash__)
       16    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     6029    0.001    0.000    0.001    0.000 dijkstra.py:62(debug)
        1    0.001    0.001    2.460    2.460 dijkstra.py:749(solve_part_one_dijkstra)
      300    0.001    0.000    0.001    0.000 dijkstra.py:367(cut_blizzards)
      137    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     1203    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       39    0.000    0.000    0.004    0.000 typing.py:471(Literal)
      317    0.000    0.000    0.001    0.000 function_base.py:465(_needs_add_docstring)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1588(_guarded_repr_or_str)
    137/3    0.000    0.000    0.157    0.052 <frozen importlib._bootstrap_external>:849(exec_module)
      715    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      352    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    2.452    2.452 dijkstra.py:711(get_all_pos_bliz_states)
      411    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
  173/169    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
  191/131    0.000    0.000    0.013    0.000 typing.py:262(inner)
      457    0.000    0.000    0.001    0.000 enum.py:44(_is_private)
      152    0.000    0.000    0.012    0.000 re.py:289(_compile)
      137    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      299    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      300    0.000    0.000    0.000    0.000 dijkstra.py:307(generate_neighbours)
      430    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
     1035    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
     1446    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      704    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
     1446    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
      388    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
    45/12    0.000    0.000    0.002    0.000 typing.py:742(__getitem__)
      605    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      341    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
    138/1    0.000    0.000    2.617    2.617 {built-in method builtins.exec}
      329    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      955    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      704    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
    91/30    0.000    0.000    0.006    0.000 sre_parse.py:435(_parse_sub)
      556    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
       39    0.000    0.000    0.000    0.000 typing.py:240(_flatten_literal_params)
     1113    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       15    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      294    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:385(cached)
      184    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
      157    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      969    0.000    0.000    0.000    0.000 typing.py:726(<genexpr>)
       54    0.000    0.000    0.005    0.000 typing.py:424(Union)
     1129    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
     1193    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      224    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      548    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       93    0.000    0.000    0.001    0.000 typing.py:209(_deduplicate)
      457    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
    273/5    0.000    0.000    0.157    0.031 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
       54    0.000    0.000    0.001    0.000 typing.py:223(_remove_dups_flatten)
      156    0.000    0.000    0.003    0.000 typing.py:660(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      187    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:156(__enter__)
     1208    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      300    0.000    0.000    0.002    0.000 dijkstra.py:729(generate_possible_positions)
      457    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
      699    0.000    0.000    0.000    0.000 types.py:171(__get__)
      914    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      137    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        1    0.000    0.000    0.003    0.003 defchararray.py:1(<module>)
      402    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      464    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       27    0.000    0.000    0.001    0.000 typing.py:968(__class_getitem__)
      168    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
