Sys.argv: ['dijkstra.py', '--debug', 'False']
Getting all possible blizzards...
         2239576 function calls (1912412 primitive calls) in 1.008 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
277536/18    0.285    0.000    0.652    0.036 copy.py:128(deepcopy)
       17    0.147    0.009    0.170    0.010 dijkstra.py:244(update_blizzards)
81116/34173    0.089    0.000    0.336    0.000 copy.py:200(_deepcopy_list)
    34172    0.054    0.000    0.169    0.000 copy.py:209(_deepcopy_tuple)
   555686    0.054    0.000    0.054    0.000 {method 'get' of 'dict' objects}
   474011    0.047    0.000    0.047    0.000 {built-in method builtins.id}
    81133    0.039    0.000    0.054    0.000 copy.py:242(_keep_alive)
   273449    0.027    0.000    0.027    0.000 {method 'append' of 'list' objects}
        1    0.026    0.026    0.848    0.848 dijkstra.py:733(get_all_pos_bliz_states)
       18    0.024    0.001    0.652    0.036 copy.py:226(_deepcopy_dict)
    34172    0.024    0.000    0.112    0.000 copy.py:210(<listcomp>)
   162230    0.015    0.000    0.015    0.000 copy.py:182(_deepcopy_atomic)
      137    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
       20    0.013    0.001    0.016    0.001 {built-in method _imp.create_dynamic}
    67139    0.008    0.000    0.008    0.000 {built-in method time.time}
    46067    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
  302/301    0.005    0.000    0.021    0.000 {built-in method builtins.__build_class__}
       15    0.005    0.000    0.008    0.001 enum.py:179(__new__)
        1    0.004    0.004    0.005    0.005 dijkstra.py:96(parse_1)
40574/40347    0.004    0.000    0.004    0.000 {built-in method builtins.len}
      715    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      338    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
    14118    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
      137    0.002    0.000    0.002    0.000 {built-in method io.open_code}
     1089    0.002    0.000    0.003    0.000 typing.py:696(__setattr__)
   105/32    0.002    0.000    0.006    0.000 sre_parse.py:493(_parse)
     4418    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      138    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      586    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      184    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     1764    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      317    0.002    0.000    0.010    0.000 overrides.py:142(decorator)
     1764    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      331    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
      555    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:87(acquire)
     1180    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x956900}
      137    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:921(get_code)
    20/15    0.001    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
      555    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      457    0.001    0.000    0.003    0.000 enum.py:88(__setitem__)
      274    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      278    0.001    0.000    0.006    0.000 overrides.py:83(verify_matching_signatures)
   214/30    0.001    0.000    0.003    0.000 sre_compile.py:71(_compile)
      555    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
      317    0.001    0.000    0.005    0.000 function_base.py:497(add_newdoc)
    187/4    0.001    0.000    0.155    0.039 <frozen importlib._bootstrap>:1002(_find_and_load)
   381/10    0.001    0.000    0.150    0.015 {built-in method builtins.__import__}
       16    0.001    0.000    0.339    0.021 __init__.py:1(<module>)
       88    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
      159    0.001    0.000    0.001    0.000 typing.py:182(_collect_type_vars)
      168    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      156    0.001    0.000    0.006    0.000 typing.py:722(__init__)
      336    0.001    0.000    0.002    0.000 typing.py:130(_type_check)
      605    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
      173    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
    173/4    0.001    0.000    0.154    0.039 <frozen importlib._bootstrap>:659(_load_unlocked)
     3265    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
   256/20    0.001    0.000    0.151    0.008 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     2210    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1892    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
    187/4    0.001    0.000    0.155    0.039 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
       14    0.001    0.000    0.002    0.000 __init__.py:345(namedtuple)
     1089    0.001    0.000    0.001    0.000 typing.py:648(_is_dunder)
     1277    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
     2228    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      484    0.001    0.000    0.001    0.000 enum.py:438(__setattr__)
     3804    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2049    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      274    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       28    0.001    0.000    0.001    0.000 inspect.py:626(cleandoc)
     1430    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
   264/80    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      137    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     1868    0.001    0.000    0.001    0.000 typing.py:930(<genexpr>)
      368    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      137    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1041(get_data)
      157    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
       16    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      144    0.001    0.000    0.001    0.000 typing.py:941(__hash__)
       16    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       39    0.000    0.000    0.004    0.000 typing.py:471(Literal)
     1203    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
    137/3    0.000    0.000    0.154    0.051 <frozen importlib._bootstrap_external>:849(exec_module)
      715    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1588(_guarded_repr_or_str)
      317    0.000    0.000    0.001    0.000 function_base.py:465(_needs_add_docstring)
      137    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     5780    0.000    0.000    0.000    0.000 dijkstra.py:82(debug)
      352    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      152    0.000    0.000    0.012    0.000 re.py:289(_compile)
      184    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
  191/131    0.000    0.000    0.013    0.000 typing.py:262(inner)
  173/169    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      411    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
    91/30    0.000    0.000    0.006    0.000 sre_parse.py:435(_parse_sub)
      457    0.000    0.000    0.001    0.000 enum.py:44(_is_private)
      137    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      299    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     1035    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
      430    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
      704    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
     1446    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
      388    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
    138/1    0.000    0.000    1.008    1.008 {built-in method builtins.exec}
    45/12    0.000    0.000    0.002    0.000 typing.py:742(__getitem__)
      605    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
     1446    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      955    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       39    0.000    0.000    0.000    0.000 typing.py:240(_flatten_literal_params)
     1113    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      704    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      329    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      556    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
      341    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      969    0.000    0.000    0.000    0.000 typing.py:726(<genexpr>)
     1193    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      157    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      294    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:385(cached)
       15    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      224    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       54    0.000    0.000    0.005    0.000 typing.py:424(Union)
       54    0.000    0.000    0.001    0.000 typing.py:223(_remove_dups_flatten)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
