Sys.argv: ['dijkstra.py']
Getting all possible blizzards...
Done!
Length of the heap thing : 1
n == 0
Solution to puzzle: 18
Time spent in selected location: 0.0001761913299560547
         1114743 function calls (1097859 primitive calls) in 0.991 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.103    0.034    0.103    0.034 {built-in method _tkinter.create}
     6796    0.057    0.000    0.096    0.000 inspect.py:626(cleandoc)
      513    0.053    0.000    0.053    0.000 {method 'call' of '_tkinter.tkapp' objects}
      299    0.044    0.000    0.044    0.000 {built-in method marshal.loads}
       41    0.031    0.001    0.031    0.001 {built-in method builtins.compile}
     9273    0.022    0.000    0.022    0.000 {method 'search' of 're.Pattern' objects}
      428    0.021    0.000    0.021    0.000 {built-in method builtins.dir}
1180/1071    0.018    0.000    0.370    0.000 {built-in method builtins.__build_class__}
       31    0.016    0.001    0.020    0.001 {built-in method _imp.create_dynamic}
    71298    0.014    0.000    0.018    0.000 {built-in method builtins.isinstance}
      213    0.014    0.000    0.044    0.000 artist.py:1521(get_setters)
     4050    0.014    0.000    0.149    0.000 artist.py:1474(get_valid_values)
    67401    0.013    0.000    0.014    0.000 {built-in method builtins.getattr}
    90190    0.012    0.000    0.012    0.000 {method 'startswith' of 'str' objects}
      213    0.012    0.000    0.069    0.000 artist.py:1446(get_aliases)
      213    0.011    0.000    0.021    0.000 artist.py:1457(<listcomp>)
141848/140760    0.011    0.000    0.011    0.000 {built-in method builtins.len}
    51946    0.010    0.000    0.010    0.000 {built-in method builtins.min}
     6351    0.009    0.000    0.015    0.000 inspect.py:2515(__init__)
  474/207    0.009    0.000    0.024    0.000 sre_parse.py:493(_parse)
15980/15967    0.008    0.000    0.010    0.000 {method 'join' of 'str' objects}
    73572    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
     7732    0.008    0.000    0.054    0.000 re.py:289(_compile)
     1606    0.008    0.000    0.008    0.000 {built-in method posix.stat}
      916    0.007    0.000    0.009    0.000 inspect.py:2798(__init__)
      641    0.007    0.000    0.018    0.000 inspect.py:2150(_signature_from_function)
       35    0.006    0.000    0.011    0.000 enum.py:179(__new__)
     8480    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
      112    0.006    0.000    0.185    0.002 artist.py:1602(pprint_setters)
      671    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     6764    0.006    0.000    0.091    0.000 inspect.py:607(getdoc)
     4050    0.005    0.000    0.012    0.000 artist.py:1559(aliased_name)
      321    0.005    0.000    0.005    0.000 {built-in method io.open_code}
     6807    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
    11909    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
 1057/204    0.004    0.000    0.010    0.000 sre_compile.py:71(_compile)
       30    0.004    0.000    0.027    0.001 __init__.py:835(_rc_params_in_file)
     3372    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x956900}
    37964    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
      716    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
     7060    0.004    0.000    0.009    0.000 enum.py:334(__call__)
      749    0.004    0.000    0.006    0.000 functools.py:35(update_wrapper)
     6453    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
  728/661    0.003    0.000    0.025    0.000 inspect.py:2244(_signature_from_callable)
     5304    0.003    0.000    0.046    0.000 re.py:198(search)
      382    0.003    0.000    0.034    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      100    0.003    0.000    0.011    0.000 artist.py:170(<listcomp>)
      504    0.003    0.000    0.014    0.000 artist.py:1180(_update_props)
     3595    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      310    0.003    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:921(get_code)
    17000    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     3595    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        5    0.003    0.001    0.003    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
4989/4527    0.003    0.000    0.004    0.000 artist.py:319(stale)
       52    0.003    0.000    0.006    0.000 {built-in method builtins.eval}
     5951    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
 1266/417    0.003    0.000    0.003    0.000 sre_parse.py:174(getwidth)
    30679    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
      620    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
     7345    0.002    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
     1662    0.002    0.000    0.005    0.000 typing.py:696(__setattr__)
     4229    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
     4942    0.002    0.000    0.005    0.000 __init__.py:729(__getitem__)
      806    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
