Skipping:
pos == (0, 0)
pos == (0, 0)
Solution to puzzle: 1001
         7448013 function calls (7445700 primitive calls) in 8.759 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    5.649    0.006    6.399    0.006 naive_part1.py:112(update_blizzards)
       21    0.909    0.043    0.911    0.043 {built-in method _imp.create_dynamic}
      148    0.857    0.006    0.857    0.006 {method 'read' of '_io.BufferedReader' objects}
  2704341    0.353    0.000    0.353    0.000 {method 'pop' of 'list' objects}
  2708123    0.251    0.000    0.251    0.000 {method 'append' of 'list' objects}
      147    0.208    0.001    0.208    0.001 {built-in method io.open_code}
1936896/1936726    0.148    0.000    0.148    0.000 {built-in method builtins.len}
      814    0.090    0.000    0.090    0.000 {built-in method posix.stat}
        6    0.029    0.005    0.030    0.005 getlimits.py:34(__init__)
        1    0.028    0.028    0.036    0.036 scimath.py:1(<module>)
        1    0.025    0.025    0.025    0.025 {method 'dot' of 'numpy.ndarray' objects}
      147    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
        1    0.016    0.016    0.041    0.041 __init__.py:335(_sanity_check)
       13    0.009    0.001    0.013    0.001 enum.py:157(__new__)
  338/337    0.008    0.000    0.034    0.000 {built-in method builtins.__build_class__}
        1    0.006    0.006    0.023    0.023 naive_part1.py:67(parse_1)
      399    0.006    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
    21/16    0.006    0.000    0.111    0.007 {built-in method _imp.exec_dynamic}
        1    0.004    0.004    6.431    6.431 naive_part1.py:344(solve_part_one)
      999    0.003    0.000    0.003    0.000 naive_part1.py:287(cut_blizzards)
      147    0.003    0.000    1.087    0.007 <frozen importlib._bootstrap_external>:914(get_code)
      147    0.003    0.000    1.052    0.007 <frozen importlib._bootstrap_external>:1034(get_data)
    82/29    0.003    0.000    0.007    0.000 sre_parse.py:493(_parse)
     2078    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     4364    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     2078    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      614    0.002    0.000    0.003    0.000 _inspect.py:65(getargs)
      538    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
    165/1    0.002    0.000    8.760    8.760 {built-in method builtins.exec}
      538    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      294    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      194    0.002    0.000    0.114    0.001 <frozen importlib._bootstrap>:890(_find_spec)
    200/4    0.002    0.000    2.329    0.582 <frozen importlib._bootstrap>:986(_find_and_load)
     8647    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       63    0.002    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
      422    0.002    0.000    0.003    0.000 enum.py:75(__setitem__)
      176    0.002    0.000    0.110    0.001 <frozen importlib._bootstrap_external>:1367(_get_spec)
       17    0.002    0.000    0.004    0.000 __init__.py:313(namedtuple)
   160/27    0.002    0.000    0.005    0.000 sre_compile.py:71(_compile)
     1143    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x909780}
      328    0.001    0.000    0.003    0.000 functools.py:34(update_wrapper)
      538    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
       18    0.001    0.000    3.762    0.209 __init__.py:1(<module>)
      314    0.001    0.000    0.011    0.000 overrides.py:170(decorator)
      186    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
    186/4    0.001    0.000    2.287    0.572 <frozen importlib._bootstrap>:650(_load_unlocked)
      284    0.001    0.000    0.006    0.000 overrides.py:88(verify_matching_signatures)
     2206    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2641    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
   391/11    0.001    0.000    2.166    0.197 {built-in method builtins.__import__}
      118    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     3157    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      317    0.001    0.000    0.018    0.000 function_base.py:483(add_newdoc)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
    199/4    0.001    0.000    2.328    0.582 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      294    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       20    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      168    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      433    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
      618    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
        2    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     4452    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      147    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
   211/17    0.001    0.000    2.166    0.127 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      997    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
      338    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    147/4    0.001    0.000    2.287    0.572 <frozen importlib._bootstrap_external>:842(exec_module)
      147    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
     2143    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     1293    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.001    0.001    0.004    0.004 npyio.py:1(<module>)
   188/55    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      977    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
      814    0.001    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     6733    0.001    0.000    0.001    0.000 naive_part1.py:57(debug)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1564(_guarded_repr_or_str)
      455    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      441    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      326    0.001    0.000    0.001    0.000 {built-in method builtins.max}
  186/183    0.001    0.000    0.921    0.005 <frozen importlib._bootstrap>:549(module_from_spec)
       28    0.001    0.000    0.001    0.000 inspect.py:625(cleandoc)
      999    0.001    0.000    0.001    0.000 naive_part1.py:228(generate_new_positions)
      288    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.001    0.001    0.066    0.066 numeric.py:1(<module>)
       52    0.001    0.000    0.001    0.000 core.py:894(__init__)
      168    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      317    0.000    0.000    0.001    0.000 function_base.py:451(_needs_add_docstring)
      248    0.000    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      421    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      785    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
      168    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
      150    0.000    0.000    0.015    0.000 re.py:289(_compile)
      199    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
    62/27    0.000    0.000    0.007    0.000 sre_parse.py:435(_parse_sub)
     1283    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      314    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      200    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      315    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:376(cached)
     1095    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1283    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
